교육과정,출판년도,국/검/인정,자료형태,학교급,학교구분,서명,저자,발행처(출판사),정가,사용학년
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),전기기기,민지현,웅보출판사,13000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),자동화설비,최동원,웅보출판사,10000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),자동화설비,김필수,성림출판,10900.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),전기·전자기초,김진수,웅보출판사,10000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),전자회로,김영준,성림출판,10500.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),전자회로,남정권,웅보출판사,10000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),전기·전자측정,남정권,웅보출판사,9500.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),디지털논리회로,남정권,웅보출판사,10000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),디지털논리회로,정재훈,성림출판,10900.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),통신일반,고영석,웅보출판사,10000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),통신시스템,고영석,(사)한국검인정(경기교육청),6100.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),정보통신,고영석,웅보출판사,10000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),정보통신,이근수,성림출판,10900.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),방송일반,전병현,(사)한국검인정(경기교육청),8280.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),정보처리와관리,정관용,성림출판,10800.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),프로그래밍,남정권,웅보출판사,12000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),자료구조,정영진,(사)한국검인정(제주교육청),7160.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),컴퓨터시스템일반,이주암,(사)한국검인정(인천교육청),7050.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),컴퓨터네트워크,박상태,(사)한국검인정(인천교육청),7890.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),식품과학,정신교,(사)한국검인정(대구교육청),7160.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),식품과학,윤상만,교육출판세종,9600.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),식품위생,조상아,(사)한국검인정(충남교육청),7160.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),식품분석,양영석,(사)한국검인정(대전교육청),7280.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),인쇄일반,차재영,(사)한국검인정(대구교육청),7890.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),디지털이미지재현,조가람,(사)한국검인정(대구교육청),7840.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),출판일반,이문학,(사)한국검인정(대구교육청),7950.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),공예일반,장용만,(사)한국검인정(전북교육청),7000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),공예재료와도구,장용만,(사)한국검인정(전북교육청),7780.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),환경화학기초,안삼영,(사)한국검인정(경기교육청),7720.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),인간과환경,김세진,(사)한국검인정(경기교육청),8230.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),산업안전보건기초,임경범,(사)한국검인정(경기교육청),7220.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),농업이해,공현조,성림출판,10000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),농업이해,성병환,교육출판세종,9800.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),농업기초기술,김일환,교육출판세종,11500.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),농업기초기술,한유임,성림출판,11800.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),농업경영,황수일,(사)한국검인정(경기교육청),8000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),재배,이변우,(사)한국검인정(전남교육청),7500.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),농촌과농지개발,박종화,(사)한국검인정(전북교육청),7560.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),농산물유통,이기수,(사)한국검인정(경기교육청),7890.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),농산물유통관리,이기수,(사)한국검인정(충북교육청),8000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),농산물거래,김윤경,(사)한국검인정(전북교육청),7500.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),관광농업,김용근,(사)한국검인정(광주교육청),6830.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),환경보전,홍광민,(사)한국검인정(충북교육청),6880.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),친환경농업,김광섭,(사)한국검인정(경기교육청),7500.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),생명공학기술,정재동,(사)한국검인정(대구교육청),8730.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),농업정보관리,백운기,교육출판세종,9800.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),농산식품가공,양영석,(사)한국검인정(강원교육청),7110.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),원예,이애경,(사)한국검인정(광주교육청),7160.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),생산자재,조종현,(사)한국검인정(충북교육청),7160.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),조경식물관리,한유임,(사)한국검인정(경기교육청),7840.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),화훼장식기초,황미현,(사)한국검인정(경기교육청),7610.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),산림휴양,박봉우,(사)한국검인정(강원교육청),7110.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),산림자원,우종춘,(사)한국검인정(강원교육청),8060.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),임산가공,이원희,(사)한국검인정(강원교육청),7670.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),동물자원,안제국,(사)한국검인정(충북교육청),8510.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),반려동물관리,박영석,(사)한국검인정(충남교육청),9120.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),실험동물과기타가축,이수기,(사)한국검인정(충남교육청),7560.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),농업기계,김치억,(사)한국검인정(강원교육청),7890.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),농업기계공작,황수현,(사)한국검인정(경기교육청),7440.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),농업기계운전·작업,김치억,(사)한국검인정(충남교육청),7330.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),농업과물,임창성,(사)한국검인정(충남교육청),7610.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),농업토목제도·설계,이주연,(사)한국검인정(경기교육청),6830.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),농업토목시공·측량,이주연,(사)한국검인정(경기교육청),7160.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),해양의이해,김종화,(사)한국검인정(전남교육청),7950.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),수산·해운산업기초,김삼곤,(사)한국검인정(전남교육청),8120.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),해양생산일반,조진호,(사)한국검인정(경남교육청),8000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),해양정보관리,윤홍주,(사)한국검인정(전남교육청),7720.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),해양오염·방재,김종화,(사)한국검인정(부산교육청),7110.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),전자통신기초,양규식,(사)한국검인정(경북교육청),9290.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),전자통신운용,윤종락,(사)한국검인정(경북교육청),6490.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),수산일반,김삼곤,(사)한국검인정(경북교육청),8680.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),수산생물,마채우,(사)한국검인정(전남교육청),8510.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),수산양식일반,최상덕,(사)한국검인정(전남교육청),9960.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),수산경영,김병호,(사)한국검인정(경북교육청),8840.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),수산물유통,장영수,(사)한국검인정(전남교육청),7280.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),양식생물질병,홍수희,(사)한국검인정(전남교육청),6270.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),해양환경과자원,정용현,(사)한국검인정(경남교육청),8620.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),해양레저관광,박수정,(사)한국검인정(인천교육청),8120.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),요트조종,장종원,(사)한국검인정(인천교육청),8560.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),잠수기술,김지현,(사)한국검인정(충남교육청),8400.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),항해기초,신현옥,(사)한국검인정(인천교육청),9460.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),해사일반,김세원,(사)한국검인정(부산교육청),9630.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),해사법규,이종근,(사)한국검인정(부산교육청),9010.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),선박운용,강일권,(사)한국검인정(인천교육청),8840.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),선화운송,공길영,(사)한국검인정(부산교육청),9570.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),항만물류일반,백인흠,(사)한국검인정(부산교육청),7390.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),해사영어,채종주,(사)한국검인정(부산교육청),10590.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),항해사직무,박용선,(사)한국검인정(인천교육청),8000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),해운일반,홍성화,(사)한국검인정(인천교육청),7560.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),열기관,이창용,(사)한국검인정(인천교육청),8960.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),선박보조기계,박주성,(사)한국검인정(인천교육청),8400.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),선박전기·전자,소명옥,(사)한국검인정(부산교육청),8060.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),기관실무기초,박종운,(사)한국검인정(인천교육청),8620.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),기관직무일반,정태영,(사)한국검인정(인천교육청),8510.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),국악기초이론,이동희,음악과생활,14000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),심화영어작문,한상호,와이비엠,9800.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),운동과건강생활,전태원,체육과건강,8250.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),스포츠문화,김대진,체육과건강,7940.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),스포츠과학,김의환,체육과건강,10260.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),정보기술과활용,오춘근,길벗,9300.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),컴퓨터일반,김미량,길벗,9200.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),생활과종교,이재일,성화출판사,4500.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),논술(고등학교용),박인기,교학사,15000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),연극연출(원리와기술),안민수,집문당,15000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),콜위분겐,안형일,태림출판사,3000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),화훼장식식물,김현수,부민문화사,9000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),애완동물사육,안제국,부민문화사,13500.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),음악극,오세곤,교학사,6100.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),전통연희기초I,이형환,교학사,8300.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),전통연희의이해,손태도,교학사,8300.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),아름다운독도,신용하,천재교육,5000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),아름다운독도,신용하,천재교육,5000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),가축관리실무,안제국,부민문화사,9500.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),한약자원식물,한약자원,부민문화사,9800.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),골프경기실습2,임병무,대한북스,7000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),PracticalBusinessEnglish,천성희,대한북스,8500.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),전사적자원관리실무,노숙희,대한북스,8000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),데이터베이스-SQL,김동현,대한북스,8500.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),기업자원관리실무,이상범,대한북스,7500.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),더불어사는민주시민(경기도),허진만,해냄에듀,4400.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),도서관과정보생활,이병기,미래엔,6000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),생태와환경,이동엽,미래엔,5500.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),생활속의한자,김대현,미래엔,2130.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),세계의지역과문화이해,김병무,미래엔,3810.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),한국의전통문화,최근덕,미래엔,5400.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),행정학일반,김보흠,미래엔,7000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),현대문학,최유찬,미래엔,4700.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),골프,조현익,미래엔,5250.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),골프경기실습Ⅰ(경기),임병무,미래엔,7000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),골프스윙원리(경기),정돈교,미래엔,7000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),쇼트게임및퍼팅(경기),황삼석,미래엔,7000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),코스공략볍Ⅰ(경기),홍진수,미래엔,7000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),코스공략법Ⅱ(경기),이광호,미래엔,7000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),나도디자이너,현영호,미래엔,6970.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),출판디자인,박기범,미래엔,6000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),국제물류실무(인천),조성환,미래엔,6900.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),네트워크기초,류윤식,미래엔,6000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),멀티미디어,손경아,미래엔,5780.0,
